X,Y,OBJECTID,Precinct,Location,Address,Proposal,status,RetireStatus,FeatureID
-84.3860434490497,33.8287778228089,543,06Q,2nd Ponce De Leon Bapt Church,2715 Peachtree Rd Ne - Fam Life Center,18/13,approved,active,
-84.3614008286971,33.918789879368,558,SS08D,Hammond Park Gym,705 Hammond Drive Ne,1/13RS,approved,active,
-84.3614008286971,33.918789879368,559,SS08A,Hammond Park Gym,705 Hammond Drive Ne,1/13RS,approved,active,
-84.4065400523061,33.8330383545996,561,08J,Sutton Middle School,2875 Northside Dr,17/13,approved,active,
-84.3391564580444,33.9962403279018,562,SS15A,Sandy Springs Middle School,8750 Pride Place,15/13,approved,active,
-84.3391564580444,33.9962403279018,563,SS15B,Sandy Springs Middle School,8750 Pride Place,15/13,approved,active,
-84.3307318269007,34.0370117997813,582,RW07A,Mimosa Elementary School,1550 Warsaw Rd,4/14R,approved,active,
-84.3307318269007,34.0370117997813,583,RW07B,Mimosa Elementary School,1550 Warsaw Rd,4/14R,approved,active,
-84.4051939011802,33.7680877511774,584,03P1A,Antioch Baptist Ch Family Cntr,540 Cameron M Alexander Blvd Nw,5/14R,approved,active,
-84.4051939011802,33.7680877511774,585,03P1B,Antioch Baptist Ch Family Cntr,540 Cameron M Alexander Blvd Nw,5/14R,approved,active,
-84.4719472466768,33.6376060829882,588,CP07A,Camp Truitt Senior Center,4320 Herschel Rd,8/14R,approved,active,
-84.4719472466768,33.6376060829882,589,CP07D,Camp Truitt Senior Center,4320 Herschel Rd,8/14R,approved,active,
-84.374501965309,33.7534843306975,590,05C,Liberty Baptist Church,395 Chamberlain St Se,1/14,approved,active,
-84.374501965309,33.7534843306975,591,01I,Liberty Baptist Church,395 Chamberlain St Se,1/14,approved,active,
-84.4287239586982,33.7191430072616,599,04G,James Orange Park,1305 Oakland Ln,6/14,approved,active,
-84.3777085582497,33.8182091388612,601,06I,Peachtree Hills Recreation,308 Peachtree Hills Ave Ne,8/14,approved,active,
-84.3917605823057,33.8752940222011,603,08C,Chastain Park Gymnasium,140 W Wieuca Rd,9/14,approved,active,
-84.7690763538977,33.5789383117467,606,CH01,Chattahoochee Hills City Hall,6505 Rico Rd,13/14,approved,active,
-84.7690763538977,33.5789383117467,607,CH02,Chattahoochee Hills City Hall,6505 Rico Rd,13/14,approved,active,
-84.7690763538977,33.5789383117467,608,CH03,Chattahoochee Hills City Hall,6505 Rico Rd,13/14,approved,active,
-84.7690763538977,33.5789383117467,609,CH04A,Chattahoochee Hills City Hall,6505 Rico Rd,13/14,approved,active,
-84.7690763538977,33.5789383117467,610,CH04B,Chattahoochee Hills City Hall,6505 Rico Rd,13/14,approved,active,
